original_file,renamed_file
UHR-00001-VL00001-L1-DD_S7_L001_R1_001.fastq.gz,UHR-00001-VL00001-L1-DD.R1.fastq.gz
UHR-00001-VL00001-L1-DD_S7_L001_R2_001.fastq.gz,UHR-00001-VL00001-L1-DD.R2.fastq.gz
CP6-1-VL00001-L1-DD_S6_L001_R1_001.fastq.gz,CP6-1-VL00001-L1-DD.R1.fastq.gz
CP6-1-VL00001-L1-DD_S6_L001_R2_001.fastq.gz,CP6-1-VL00001-L1-DD.R2.fastq.gz
CP5-5-VL00002-L1-SA_S25_L001_R1_001.fastq.gz,CP5-5-VL00002-L1-SA.R1.fastq.gz
CP5-5-VL00002-L1-SA_S25_L001_R2_001.fastq.gz,CP5-5-VL00002-L1-SA.R2.fastq.gz
CP6-4-VL00001-L2-DD_S14_L001_R1_001.fastq.gz,CP6-4-VL00001-L2-DD.R1.fastq.gz
CP6-4-VL00001-L2-DD_S14_L001_R2_001.fastq.gz,CP6-4-VL00001-L2-DD.R2.fastq.gz
CP5-1-VL00001-L1-DD_S3_L001_R1_001.fastq.gz,CP5-1-VL00001-L1-DD.R1.fastq.gz
CP5-1-VL00001-L1-DD_S3_L001_R2_001.fastq.gz,CP5-1-VL00001-L1-DD.R2.fastq.gz
